crop,region,land_size_ha,soil_ph,rainfall_mm,temperature_c,humidity_pct,elevation_m,irrigation,fertilizer_type,yield_tons_per_ha,total_yield_tons,year
plantain,Adamawa,16.69,5.5,1045,20.507873526137384,64.90021214583153,894,1,organic,8.449,141.012,2018
palm_oil,South West,41.89,7.1,3477,26.9955678527934,76.01797085835199,355,1,inorganic,5.942,248.908,2021
sorghum,Adamawa,40.75,5.5,1093,23.31632712260788,61.262797809025,868,0,inorganic,0.978,39.839,2017
beans,South,24.19,7.0,1882,25.506620739878933,90.63313905899223,566,0,organic,1.29,31.196,2016
cassava,North,10.76,5.3,864,28.40987572549325,53.54704139078772,359,0,inorganic,6.017,64.74,2023
coffee,Far North,18.08,5.9,443,30.378681561742688,37.885683734908675,231,1,none,0.146,2.644,2019
cassava,North,32.21,6.8,704,28.35492516277253,48.28502529209419,442,1,organic,6.882,221.671,2024
tomato,North,23.62,5.9,662,28.61807925806232,54.48432427144508,419,1,mixed,14.739,348.145,2023
rice,South West,20.79,6.0,3570,25.629042228452867,89.46660884900614,384,1,none,4.952,102.942,2023
cocoa,Adamawa,13.24,6.6,1245,23.28418042561668,68.63864493170226,928,0,organic,0.435,5.761,2023
tomato,North,20.07,5.1,694,29.844271750454745,54.58447781417988,475,0,organic,9.92,199.086,2020
maize,South West,38.03,6.0,3465,24.781085494539052,80.84208001042926,412,1,organic,3.422,130.145,2018
potato,Littoral,5.93,7.0,2836,26.037936852095157,73.33629228950845,-31,0,organic,14.911,88.421,2019
cassava,South West,38.44,5.1,3365,24.72056316044271,76.84113701164827,324,0,none,12.321,473.637,2017
maize,East,19.94,4.9,1578,22.81079317560054,89.92908625313785,657,0,none,2.086,41.597,2019
rice,North West,35.31,4.7,1723,20.397166812423063,73.3381225998437,1555,1,mixed,4.167,147.141,2017
plantain,North West,9.87,7.1,1656,17.891467452629666,83.64488958431328,1481,1,inorganic,11.989,118.334,2016
palm_oil,South West,21.23,6.5,3645,23.10599085757251,87.71849136130825,437,1,organic,6.252,132.736,2019
cassava,Far North,8.22,7.2,441,32.052170196588804,43.420463427969395,207,1,none,3.939,32.381,2018
sorghum,Adamawa,36.06,6.6,1132,20.82066884225878,51.64763375894808,823,0,inorganic,0.97,34.975,2018
sorghum,North,14.09,5.7,977,30.61696918902041,40.84588392213105,376,1,none,0.693,9.762,2017
sorghum,South,7.21,5.9,1963,26.11188102195224,75.38262269068709,426,1,organic,1.903,13.719,2019
plantain,West,44.43,6.8,1435,20.611602064118475,79.93186180542844,1227,1,none,10.523,467.551,2019
beans,East,26.51,7.2,1712,25.56603783315125,75.56147701293932,608,0,organic,1.127,29.871,2023
onion,South West,27.22,5.4,3637,23.567498291928434,88.31160538104152,428,1,inorganic,25.811,702.565,2022
coffee,Littoral,29.2,5.1,2985,27.091457127100327,87.68319304710633,52,1,mixed,0.62,18.094,2017
palm_oil,Far North,34.03,6.7,606,32.90368879137746,40.11867975284221,311,1,mixed,1.369,46.587,2017
beans,West,6.83,5.8,1558,18.37635517321357,72.1306561772686,1234,0,inorganic,1.078,7.365,2020
beans,North West,2.67,7.2,1962,17.33024673440787,80.77684157202584,1414,1,inorganic,1.392,3.717,2023
rice,Centre,45.15,7.4,1766,23.302534341087696,73.68527642047296,757,0,mixed,3.333,150.464,2020
onion,East,28.27,6.1,1524,24.716099487642815,77.78915039211982,556,1,mixed,22.627,639.654,2020
sorghum,Centre,3.35,4.6,1608,23.724408571558474,77.21250366342072,673,1,none,1.628,5.453,2023
onion,Far North,0.95,5.9,634,32.88595038218942,27.394289472012918,345,1,none,5.403,5.133,2023
onion,South West,42.91,6.0,3388,26.765430639072903,77.71616365967854,492,0,mixed,21.394,918.025,2024
onion,South West,15.31,7.1,3546,26.69187905937331,77.2583478234973,448,1,organic,24.257,371.371,2022
coffee,South,39.13,6.8,1934,24.449683881886315,90.6958785917734,555,1,organic,0.599,23.44,2017
cocoa,Littoral,37.02,5.6,2951,25.454784277052656,78.81882992760531,92,0,organic,0.724,26.815,2022
rice,Littoral,8.62,4.9,2750,25.182358206795115,80.98887637274379,34,0,mixed,3.856,33.237,2020
palm_oil,South,1.45,5.3,1891,24.37310205545075,82.13676500549474,501,0,mixed,4.94,7.163,2021
groundnut,South,18.49,5.8,1849,27.97517256576609,89.857165621691,405,0,mixed,1.918,35.469,2024
plantain,West,9.78,6.8,1780,18.140917202748724,83.08763629677681,1133,0,none,7.797,76.251,2017
plantain,East,39.55,6.6,1539,22.605930295452875,74.52968122690312,602,0,organic,10.444,413.041,2018
maize,South West,18.24,6.6,3524,25.89301830565452,81.44772713941973,334,1,none,3.522,64.244,2023
onion,North West,16.88,7.0,1830,18.332853855553704,82.88754919807643,1489,1,mixed,22.25,375.576,2021
cassava,Adamawa,20.67,5.0,1297,21.91182172423416,61.820780543836804,955,1,none,9.686,200.202,2024
palm_oil,East,43.35,7.0,1887,23.179036431742418,71.42066489938624,693,0,organic,4.853,210.375,2020
onion,East,24.41,5.7,1625,25.681985074660712,89.0866906274785,596,0,inorganic,18.168,443.489,2024
cocoa,North,10.45,4.8,678,30.07046624023666,42.559752884340824,447,1,none,0.258,2.696,2022
rice,Centre,39.97,7.0,1573,24.18329534435634,81.01426461299934,679,0,inorganic,3.44,137.506,2022
groundnut,East,17.33,5.7,1715,24.627666067395804,74.49803038764614,612,1,none,1.955,33.882,2018
beans,Adamawa,8.72,6.4,1285,23.402844549987396,58.031753148675236,987,1,mixed,1.028,8.966,2022
cassava,Adamawa,36.49,7.4,1060,20.687742512136783,66.54322080960607,985,0,mixed,9.845,359.245,2017
tomato,East,36.61,7.0,1852,23.80787091882599,73.75125336043553,530,0,mixed,24.782,907.282,2024
sorghum,West,14.82,6.5,1663,18.96443311168944,74.14891235083853,1153,1,mixed,1.511,22.388,2020
groundnut,South,15.04,4.7,1990,26.494262119548218,80.07156321485446,450,0,inorganic,1.643,24.705,2020
cocoa,North West,10.58,5.1,1842,20.377721121978315,81.56053445534798,1430,1,none,0.626,6.621,2018
sorghum,Far North,48.55,6.7,395,31.334121938483644,28.150275734711105,227,0,none,0.241,11.687,2021
coffee,South West,39.42,7.4,3437,25.73887857225926,77.20771189317036,327,0,inorganic,0.538,21.211,2021
coffee,Far North,20.18,6.4,534,32.5126450087602,33.90278277817943,301,1,organic,0.165,3.336,2019
cocoyam,Adamawa,22.2,4.9,1047,23.439416072900748,61.736451230530804,887,1,none,4.803,106.623,2020
rice,Far North,36.16,7.3,510,33.43120436860262,41.61182461761982,220,1,none,0.999,36.141,2024
cocoa,North West,37.45,6.8,1648,19.936805151073962,72.97137547471084,1467,0,mixed,0.583,21.828,2024
coffee,Adamawa,24.47,6.6,1028,23.579164620577263,60.81863838316557,907,1,mixed,0.4,9.796,2016
cocoa,Centre,14.09,6.5,1706,24.820874769632475,86.44399984354013,682,0,inorganic,0.544,7.667,2017
palm_oil,East,45.4,4.9,1845,22.126598958424093,86.85520163855307,617,1,organic,5.283,239.85,2021
groundnut,North,40.88,6.9,728,31.466765605477832,36.51990802014169,460,0,organic,0.877,35.864,2020
cocoa,Centre,33.52,5.5,1565,24.49848702567688,79.64748184700686,723,1,mixed,0.629,21.091,2017
sorghum,North,21.4,7.1,928,28.8383974608677,39.12211226684586,390,1,inorganic,0.856,18.313,2020
maize,Adamawa,28.95,6.1,1264,23.09797636267033,53.526610981368094,922,0,organic,1.995,57.76,2017
potato,South,29.53,5.5,1660,24.839635552831872,89.67909666883904,418,1,inorganic,16.648,491.612,2020
rice,South,19.09,6.7,1717,27.695281379404612,79.6869910292736,504,0,mixed,3.797,72.482,2019
cocoa,South West,42.69,6.4,3675,24.67183756283955,81.92630059544982,325,0,inorganic,0.703,30.0,2022
onion,North,25.01,7.2,957,31.702589652568363,51.547879293854116,308,0,organic,8.8,220.08,2022
coffee,Adamawa,31.25,6.2,1188,23.095435158935743,56.239539698574944,810,0,organic,0.343,10.715,2016
onion,North,40.83,6.8,754,28.405527997536247,36.749326821042395,492,1,mixed,10.581,432.004,2019
onion,East,5.82,5.6,1842,24.444601981022032,80.82754440324923,675,0,mixed,17.721,103.135,2016
beans,Littoral,6.0,6.8,2821,28.127372326097376,91.19145353888148,34,0,mixed,1.374,8.241,2018
cocoyam,West,19.51,6.7,1792,20.900802083168898,68.60887835746179,1215,0,mixed,6.482,126.456,2022
cocoa,South West,39.14,4.6,3586,23.33642813802892,75.43376256945379,446,1,mixed,0.77,30.136,2020
sorghum,Adamawa,35.19,6.5,1288,22.03834577723,54.55091673618228,922,1,inorganic,1.314,46.228,2019
coffee,Littoral,31.88,6.4,2977,26.506597128936615,88.30546643972465,104,1,organic,0.656,20.91,2019
maize,Littoral,34.61,5.8,2883,25.433486072317628,79.26791796225221,95,0,mixed,3.328,115.171,2023
beans,Centre,27.61,6.2,1660,26.454605702779016,86.40183033035166,719,0,none,0.755,20.848,2019
cassava,Adamawa,5.18,6.3,1338,20.37472001188578,54.25342662917724,817,1,none,11.102,57.508,2020
palm_oil,Adamawa,12.35,6.6,1149,21.808544848059416,57.11630991840537,924,1,none,4.062,50.163,2023
palm_oil,North West,13.36,6.6,1614,20.161315242653526,71.14148669383826,1594,1,none,5.471,73.097,2021
tomato,Adamawa,6.17,5.1,1244,23.34446242249438,59.688257019283746,908,1,mixed,22.705,140.092,2021
onion,South West,12.54,4.6,3553,26.399086828861233,88.58125197254222,399,0,organic,21.474,269.287,2019
rice,South,38.96,5.0,1666,24.04203891093395,87.70456152366258,557,1,inorganic,4.374,170.41,2023
rice,Littoral,33.84,7.2,2960,28.22840138810264,74.82360528987437,74,1,inorganic,4.794,162.239,2021
sorghum,South,44.76,6.9,1762,24.476243721580236,87.43518651398145,506,0,organic,1.538,68.822,2022
cocoyam,West,19.66,4.6,1507,19.02485354752834,75.64805345452764,1111,1,organic,6.441,126.638,2019
plantain,East,37.4,5.8,1589,23.104173970607,88.06007723950704,540,0,inorganic,11.609,434.186,2016
groundnut,North,45.96,5.4,944,31.08144193742317,42.99995208514514,463,0,none,0.609,28.008,2021
beans,Centre,3.05,6.3,1654,23.40769351163219,73.8951339655659,700,0,organic,1.196,3.648,2020
palm_oil,West,5.76,6.2,1580,19.666130598396357,81.42654583346138,1203,0,mixed,4.301,24.775,2021
sorghum,Adamawa,17.87,6.1,1181,22.379122347620864,59.5978676013698,928,1,none,1.306,23.33,2016
potato,Littoral,18.71,5.8,2860,27.23476785782156,90.94410643908256,116,0,mixed,15.609,292.04,2020
onion,Far North,41.91,5.1,594,32.33221133137308,41.54035882344216,270,1,organic,5.836,244.572,2023
coffee,North West,9.73,7.1,1987,20.18181391866734,78.83669902593786,1401,0,inorganic,0.447,4.354,2020
rice,Littoral,7.75,6.7,2724,26.561735446222652,89.69784949848125,-20,0,organic,3.766,29.187,2018
groundnut,Far North,1.68,7.2,550,33.680556766303404,30.095202687904955,353,0,none,0.406,0.682,2020
sorghum,South West,40.48,5.5,3678,23.376318620220818,82.9402906427317,350,0,mixed,1.706,69.049,2022
sorghum,Far North,8.07,4.8,679,32.8160191755719,27.90489267768746,220,0,none,0.167,1.346,2018
potato,Adamawa,34.46,4.6,1120,20.136184733652968,52.30829768516518,979,1,inorganic,11.94,411.437,2022
tomato,North,48.07,7.1,609,30.612351226596278,38.720145199321465,460,0,mixed,11.023,529.867,2016
palm_oil,North West,33.97,7.2,1645,20.097843586939423,69.41376106114345,1483,1,mixed,5.569,189.191,2018
maize,Centre,8.68,4.7,1633,26.010988251731273,84.83722761122378,766,1,inorganic,2.583,22.424,2021
tomato,South West,39.87,5.8,3647,26.135300391043987,91.41054485535274,451,1,organic,38.541,1536.628,2019
beans,West,21.9,7.3,1592,21.81177678749091,76.56966333067835,1293,0,inorganic,1.097,24.034,2023
groundnut,West,5.41,6.9,1545,21.610315622995866,84.4258965143742,1212,0,organic,1.414,7.65,2021
palm_oil,Adamawa,16.69,6.2,1151,23.000769493557186,53.76230340967163,933,1,none,3.858,64.391,2022
cocoa,West,8.74,6.3,1766,21.998475580347375,67.94395269905584,1176,0,mixed,0.545,4.764,2019
maize,North West,43.7,4.7,1716,18.878111887814924,87.51380261398938,1467,1,none,2.885,126.08,2023
cocoyam,Adamawa,17.54,6.1,1257,22.798258128109076,58.657800108705544,805,1,none,5.689,99.783,2022
tomato,Centre,27.53,4.9,1685,25.844024859389943,87.60065656080367,795,0,organic,22.604,622.281,2017
cocoa,West,18.67,7.2,1550,20.465243090242733,77.03591393336842,1191,1,none,0.536,10.001,2024
coffee,East,6.15,7.3,1860,25.88173883150466,70.96916303581504,505,0,none,0.392,2.411,2019
potato,Littoral,28.05,5.2,2614,25.534045628166563,73.34744465517801,12,1,inorganic,18.384,515.669,2020
potato,East,14.6,5.6,1857,23.734629713164082,77.18645865140184,589,0,organic,13.846,202.153,2022
sorghum,Littoral,39.56,5.8,2611,26.745723171014582,83.0203994231701,109,1,inorganic,1.943,76.873,2019
coffee,West,19.21,5.2,1482,18.503188941892173,80.44110830143431,1148,0,organic,0.435,8.354,2016
plantain,Adamawa,31.32,6.2,1228,21.257822541058783,61.94287679195243,967,1,mixed,7.536,236.035,2019
cocoa,South,20.75,5.0,1727,27.995366828384764,85.0989546161887,579,0,none,0.518,10.751,2016
groundnut,West,29.42,5.4,1550,19.781249497192423,70.10912632095257,1263,0,mixed,1.583,46.583,2019
potato,Centre,15.28,7.1,1676,26.672824943366706,75.65225860122533,688,0,inorganic,13.266,202.704,2017
rice,North,45.45,4.7,855,28.275063269553335,50.70077918158488,478,1,none,1.905,86.601,2021
cocoyam,East,25.85,7.2,1863,24.021110151898014,81.02465646156332,510,0,none,5.479,141.623,2016
plantain,North,13.64,7.0,855,30.083377038425738,49.02591957277734,301,0,inorganic,4.757,64.881,2022
onion,Far North,27.29,6.9,590,31.185039859258822,37.22089914356953,284,1,none,4.938,134.753,2018
plantain,West,38.41,6.2,1419,21.57683590817262,79.21806598973157,1117,0,inorganic,9.745,374.291,2023
cassava,South West,29.86,6.5,3558,25.967402280924894,90.90499457055351,467,0,mixed,16.899,504.592,2018
plantain,South West,0.6,5.8,3416,25.794474908946594,93.51213249250972,478,0,none,10.067,6.04,2018
groundnut,Adamawa,36.64,5.1,1010,23.984910173271004,58.543722288143115,928,0,mixed,1.236,45.303,2020
plantain,South,4.68,4.8,1685,26.426711915877252,90.97844081393143,444,0,inorganic,10.467,48.984,2022
cassava,Far North,16.6,6.9,349,31.858988271135964,29.473942115207304,379,0,organic,3.917,65.019,2024
sorghum,East,0.75,6.7,1501,25.40687055571879,76.67751701531049,512,1,organic,1.631,1.223,2018
maize,Littoral,17.01,7.0,2702,27.409856230865973,91.20386331383534,-33,1,none,3.326,56.576,2023
plantain,West,37.92,5.5,1462,20.30144375722696,66.3298830287336,1271,0,mixed,10.167,385.514,2017
groundnut,North West,16.6,5.6,1755,20.973983677722934,69.45064869200746,1493,0,inorganic,1.928,32.011,2024
groundnut,East,24.82,6.3,1862,24.76050597643511,77.69716863959692,523,0,none,1.225,30.398,2018
rice,Far North,23.43,4.7,624,32.23753206826236,44.84365149816367,272,1,organic,0.819,19.178,2020
cassava,West,2.16,6.1,1454,21.515486261317488,79.46344049260509,1186,0,organic,13.245,28.609,2016
beans,South,39.96,7.2,1898,27.380679660002784,77.10875501935907,448,1,mixed,1.412,56.426,2017
cocoyam,East,26.41,6.9,1850,23.18148564829528,85.65251873557678,618,1,inorganic,7.466,197.176,2016
plantain,South West,1.97,6.9,3528,26.136202525029887,82.90747152074904,451,0,inorganic,12.511,24.647,2017
sorghum,Far North,28.77,4.9,501,30.017630598672802,26.991069222423853,300,1,none,0.392,11.274,2017
groundnut,East,7.89,4.9,1738,23.193433942574476,73.99113683602508,698,0,inorganic,1.605,12.663,2016
cocoa,North West,8.52,5.9,1857,18.08684050928571,72.52648858101807,1456,0,inorganic,0.585,4.982,2018
cocoyam,North West,18.01,6.6,1896,20.869353609681614,76.48423294267914,1406,0,inorganic,7.029,126.59,2016
potato,South West,18.32,6.7,3403,26.91705573206276,91.24041710265595,317,0,none,11.461,209.958,2022
plantain,West,33.2,6.8,1559,20.71590090870553,65.35058881937154,1125,1,mixed,10.349,343.591,2017
maize,Littoral,14.62,6.5,2685,26.65772665917589,84.33706683207114,76,1,mixed,3.478,50.848,2022
plantain,West,20.62,5.4,1658,19.864948958430826,68.23838994585206,1201,1,inorganic,10.186,210.032,2023
palm_oil,Centre,47.49,6.7,1559,26.69135008651856,84.32022375558965,608,0,organic,4.51,214.19,2021
onion,South West,3.65,5.6,3649,23.36760787254881,77.32729188677604,490,0,organic,21.54,78.62,2023
groundnut,Centre,29.02,6.3,1688,23.540398638714947,74.48670520792122,620,0,inorganic,1.603,46.525,2022
rice,Centre,7.43,7.1,1465,25.895843416959337,85.67551590178277,760,0,organic,3.02,22.441,2022
onion,Centre,16.63,7.3,1406,26.16238748861634,82.22689798299976,691,1,none,20.06,333.602,2024
cocoa,East,21.95,6.2,1726,25.023241987456252,79.26753140789847,659,1,organic,0.708,15.547,2023
beans,North,25.71,7.0,985,29.52114786048041,49.66360902052576,497,1,inorganic,0.644,16.563,2023
coffee,South West,29.36,4.9,3632,26.88484013815258,84.11408951590703,345,0,inorganic,0.584,17.141,2018
cassava,Adamawa,39.71,4.7,1338,21.80947958331088,60.30504601926892,808,1,mixed,9.357,371.559,2020
tomato,North West,0.8,4.8,1650,20.089480113390053,86.67376839710697,1506,1,none,31.581,25.264,2024
rice,North,24.91,7.5,665,30.552140627925052,47.794267506393346,366,0,mixed,1.703,42.423,2017
groundnut,South,20.94,6.0,1842,27.23132456572308,74.14539121465123,513,0,inorganic,1.744,36.527,2020
tomato,South West,27.55,5.5,3495,24.759574276557778,82.53914923709392,369,1,none,36.783,1013.369,2023
cassava,West,39.61,4.6,1573,19.298999568899387,72.57756638395941,1195,0,none,9.227,365.486,2017
coffee,Adamawa,7.0,4.8,1393,23.567683471967936,58.91821090449991,817,0,mixed,0.298,2.088,2023
tomato,Adamawa,40.59,5.4,1267,20.823837144322162,51.268102284328734,991,0,organic,15.261,619.424,2019
cassava,South West,43.04,6.4,3681,26.36503303250517,79.26984275250555,487,0,none,12.236,526.618,2022
beans,North West,41.68,5.3,1869,17.543290709541907,75.20321509870917,1521,1,mixed,1.423,59.32,2017
maize,West,12.27,4.5,1682,21.654794974367366,82.97116659461739,1239,0,mixed,2.354,28.885,2022
sorghum,South,39.32,6.1,1740,26.620410961701875,83.97916944840415,429,0,inorganic,1.615,63.515,2021
potato,Centre,12.22,5.4,1444,25.83349182622758,69.70231150433592,677,0,none,9.397,114.83,2018
cassava,North West,34.07,7.2,1950,19.132661783013788,75.9692201365383,1565,1,none,15.238,519.175,2016
potato,Littoral,20.62,5.1,2626,27.569073687779834,72.15426979501667,58,1,organic,18.288,377.107,2023
onion,West,37.13,5.8,1779,19.052641794612722,73.86343330771393,1107,1,mixed,20.452,759.387,2024
cocoyam,South West,13.24,5.0,3615,25.511226102797448,94.13335079836918,317,0,mixed,7.877,104.297,2018
groundnut,Centre,36.55,6.0,1737,24.931318211874466,72.72054772209725,756,1,none,1.958,71.574,2018
cassava,East,47.6,4.8,1595,22.238802889519047,76.55661438215384,618,0,mixed,14.924,710.365,2016
sorghum,East,2.5,4.8,1649,22.83707757924085,86.52160792923542,693,1,organic,1.723,4.306,2020
tomato,Centre,22.3,7.1,1405,26.754919843871264,73.47378026622769,683,1,inorganic,30.749,685.693,2016
rice,Centre,25.47,6.9,1440,24.00352012601253,76.03991479730537,637,0,mixed,3.32,84.571,2024
plantain,North West,33.68,5.1,1670,20.620845030284272,81.64440384583452,1513,0,mixed,11.418,384.551,2023
beans,South,6.0,6.8,1818,27.284065168129466,80.96100560541255,498,0,organic,1.293,7.755,2016
beans,North West,2.67,6.7,1908,20.737688060000536,85.17066207803227,1532,0,inorganic,1.188,3.172,2024
rice,Adamawa,45.39,5.1,1080,22.166139289015078,66.83251481094483,873,0,mixed,2.676,121.445,2017
groundnut,South,32.38,5.2,1974,24.044298144995757,88.17443055143212,589,0,mixed,1.829,59.227,2022
maize,West,14.95,7.1,1572,19.98428711461507,73.22269674007339,1292,0,organic,2.564,38.327,2023
cocoa,East,5.6,7.1,1661,24.91133074623766,75.8506891211666,609,1,organic,0.636,3.562,2021
tomato,East,26.56,5.5,1813,24.157958258498454,72.3638362752346,673,1,inorganic,32.228,855.972,2022
coffee,Far North,20.26,4.8,319,31.029188112835975,29.446589261185572,377,0,organic,0.172,3.485,2019
plantain,South West,24.18,5.4,3605,24.760879781301043,80.41834649262563,345,0,organic,11.556,279.417,2018
cocoyam,West,48.66,6.3,1698,19.73224462899324,71.10524633807387,1101,0,none,5.043,245.386,2022
groundnut,Adamawa,7.4,7.4,1225,20.410407292693492,58.28394589516503,803,1,organic,1.303,9.642,2024
maize,North West,18.14,6.0,1689,19.05735693950124,77.96971894162344,1585,0,inorganic,2.585,46.891,2021
onion,West,43.13,7.5,1545,19.897066878535103,84.840215019193,1178,1,none,19.277,831.412,2017
cocoa,Centre,38.42,5.1,1701,23.838345356566062,85.17251934840996,693,1,organic,0.588,22.579,2017
beans,Littoral,16.91,5.0,2788,27.610940843810347,76.2506354072143,113,0,inorganic,1.406,23.776,2021
palm_oil,Far North,40.34,5.5,379,33.34348163583207,31.233962606427596,216,1,inorganic,1.72,69.372,2018
sorghum,North,23.83,6.3,691,31.386816754559177,43.35737503034718,409,1,none,0.835,19.908,2023
palm_oil,East,33.9,4.8,1892,22.796320186111316,89.14369278800844,665,1,none,5.254,178.102,2017
sorghum,North,22.68,5.5,839,29.647547939724117,44.11284963371841,421,1,none,0.751,17.029,2018
onion,South West,1.76,6.9,3586,24.959825563641548,86.86735923225781,467,1,inorganic,23.87,42.011,2018
potato,Adamawa,8.46,6.2,1184,23.724136703667302,50.808429799271714,945,0,mixed,8.668,73.331,2017
cassava,Far North,21.76,6.1,305,32.56967476121631,39.649984339177124,305,0,organic,4.457,96.974,2017
sorghum,Littoral,37.46,5.3,2823,27.09058248362012,75.01542100061576,142,0,mixed,1.702,63.762,2016
cocoyam,East,27.45,5.7,1720,25.540603554090897,74.1854578973811,522,0,inorganic,7.073,194.153,2024
cassava,South West,30.7,6.8,3416,25.658946458019265,92.24216345279066,494,0,inorganic,16.045,492.581,2022
cocoa,Littoral,45.62,5.6,2889,26.51026474702377,80.60830230718751,82,1,mixed,0.786,35.842,2019
cassava,Centre,38.19,6.0,1653,23.813830342087243,73.72595876673186,679,0,mixed,14.171,541.206,2023
sorghum,North,35.05,7.1,629,29.70955674058657,41.20932700785026,350,0,none,0.503,17.63,2023
cassava,North West,11.6,6.0,1688,19.118824598483457,70.04526469113173,1516,1,none,15.644,181.475,2021
cocoa,Centre,1.01,7.3,1696,26.38439349920958,86.72526871266633,721,1,mixed,0.564,0.57,2016
coffee,North West,41.93,5.4,1740,20.988702170245553,85.52607447633868,1568,1,none,0.535,22.424,2024
plantain,Centre,5.11,5.0,1791,24.168815594166855,81.37012334132223,663,0,inorganic,11.147,56.963,2021
cocoa,North West,43.87,5.4,1903,17.87612219401498,78.89448065998022,1594,0,organic,0.575,25.204,2022
groundnut,Littoral,12.05,5.0,2856,28.712510898355024,79.61545432542158,67,0,inorganic,1.86,22.407,2022
palm_oil,Littoral,36.91,6.0,2811,27.051371956824134,87.56034864180336,77,0,none,4.279,157.943,2016
beans,Far North,34.21,4.8,407,30.314120786962285,31.789979070744238,223,0,organic,0.373,12.75,2024
beans,Adamawa,0.92,5.4,1053,23.269204718194427,58.15691308603007,856,1,none,0.973,0.895,2024
beans,Adamawa,47.82,6.0,1058,21.43872757303187,61.66961137073257,845,0,organic,0.856,40.953,2016
maize,North,13.03,5.6,657,30.64356097030654,46.0018410074822,369,0,organic,1.223,15.934,2020
potato,Centre,40.96,5.5,1718,23.838738315317944,68.21041416685514,751,1,none,15.102,618.569,2021
plantain,North,11.21,6.7,990,28.3922849692267,54.12354216759913,372,0,none,3.703,41.51,2016
palm_oil,South West,27.16,6.3,3519,25.034172626295053,86.05847303137263,400,0,inorganic,5.822,158.137,2016
groundnut,Far North,7.39,6.8,661,30.643133930953454,38.335747273570966,206,1,organic,0.637,4.704,2021
plantain,Adamawa,42.86,6.4,1207,21.345603833142086,57.53459720291645,924,1,mixed,8.124,348.186,2024
potato,Littoral,6.47,6.5,2932,27.71204281875117,82.96602695592061,138,1,inorganic,18.503,119.712,2024
tomato,Littoral,39.99,6.9,2921,28.448217989339714,84.81913525280021,84,0,mixed,27.986,1119.154,2017
cassava,Centre,15.3,7.3,1787,26.566115867241315,75.1837228141755,753,0,none,9.291,142.159,2017
maize,Centre,17.38,4.6,1662,26.05135274854453,75.58690961594095,794,1,mixed,2.697,46.871,2019
groundnut,South West,46.02,6.6,3497,26.468222935698595,81.61287871170393,316,0,mixed,1.949,89.711,2024
beans,Centre,23.69,5.5,1613,26.88530001046475,75.54191261104822,796,0,mixed,1.193,28.255,2022
groundnut,East,13.79,7.4,1637,24.312010345062696,87.10234752973491,671,0,organic,1.536,21.177,2018
beans,West,21.65,6.6,1712,21.177654777679493,66.34440986476459,1206,0,mixed,1.098,23.782,2018
potato,North,48.57,7.0,631,29.40343630088009,48.32016455774925,357,1,organic,6.763,328.47,2023
groundnut,North West,4.74,4.9,1687,18.40735525499956,68.68727320679031,1589,1,inorganic,1.931,9.153,2017
tomato,Centre,23.51,6.1,1476,24.798775993550276,74.72134561269854,762,1,none,31.498,740.527,2021
tomato,Adamawa,7.54,7.2,1308,23.736475175842337,63.307375533748484,976,1,organic,22.243,167.71,2017
cocoa,Adamawa,25.61,6.5,1181,23.447717366650696,57.25967910830392,964,0,inorganic,0.455,11.665,2020
